Mean_Age,Pathogen
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Streptococcus_pyogenes
Equal_or_Above_Mean_Age,Streptococcus_pyogenes
Below_Mean_Age,Haemophilus_ducreyi
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Equal_or_Above_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Bacillus_cereus
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Equal_or_Above_Mean_Age,Streptococcus_equi
Below_Mean_Age,Streptococcus_equi
