Acinetobacter baumannii
Anaerococcus prevotii
Bacillus cereus
Campylobacter coli
Campylobacter jejuni
Candida albicans
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Corynebacterium diphtheriae
Cronobacter sakazakii
Enterobacter cloacae
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Haemophilus influenzae
Haemophilus parainfluenzae
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Paraclostridium bifermentans
Parvimonas micra
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Pseudomonas aeruginosa
Rothia dentocariosa
Salmonella enterica
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus haemolyticus
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
