Acinetobacter baumannii
Bacillus cereus
Campylobacter coli
Campylobacter jejuni
Candida albicans
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Enterobacter cloacae
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Haemophilus influenzae
Haemophilus parainfluenzae
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Paraclostridium bifermentans
Parvimonas micra
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Pseudomonas aeruginosa
Rothia dentocariosa
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
