Abiotrophia defectiva
Achromobacter xylosoxidans
Acinetobacter baumannii
Aeromonas veronii
Aggregatibacter aphrophilus
Anaerococcus prevotii
Bacillus cereus
Blastocystis hominis
Brachyspira hyodysenteriae
Campylobacter coli
Campylobacter curvus
Campylobacter fetus
Campylobacter jejuni
Campylobacter lari
Candida albicans
Candida dubliniensis
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani
Corynebacterium striatum
Elizabethkingia anophelis
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterocytozoon bieneusi
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Haemophilus parainfluenzae
Helicobacter pylori
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Morganella morganii
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Pseudomonas aeruginosa
Rhizopus oryzae
Rothia dentocariosa
Salmonella enterica
Schistosoma mansoni
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Yersinia pestis
