Abiotrophia defectiva
Achromobacter xylosoxidans
Aeromonas veronii
Aggregatibacter aphrophilus
Blastocystis hominis
Brachyspira hyodysenteriae
Campylobacter curvus
Campylobacter fetus
Campylobacter lari
Candida dubliniensis
Clostridium septicum
Clostridium tetani
Corynebacterium striatum
Elizabethkingia anophelis
Enterococcus avium
Enterococcus gallinarum
Enterocytozoon bieneusi
Gardnerella vaginalis
Giardia intestinalis
Helicobacter pylori
Morganella morganii
Pasteurella multocida
Rhizopus oryzae
Schistosoma mansoni
Yersinia pestis
