Achromobacter xylosoxidans
Aeromonas hydrophila
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Blastocystis hominis
Brachyspira hyodysenteriae
Campylobacter curvus
Campylobacter fetus
Campylobacter lari
Clostridium septicum
Clostridium tetani
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Entamoeba histolytica
Enterococcus avium
Enterococcus gallinarum
Enterocytozoon bieneusi
Fusobacterium necrophorum
Gardnerella vaginalis
Giardia intestinalis
Helicobacter pylori
Human mastadenovirus D
Morganella morganii
Pasteurella multocida
Peptostreptococcus anaerobius
Prevotella bivia
Providencia alcalifaciens
Providencia rettgeri
Staphylococcus epidermidis
Staphylococcus pseudintermedius
Streptococcus iniae
Trichomonas vaginalis
Ureaplasma parvum
Ureaplasma urealyticum
Yersinia pestis
