Abiotrophia defectiva
Aeromonas hydrophila
Aeromonas veronii
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Blastocystis hominis
Campylobacter curvus
Campylobacter fetus
Campylobacter lari
Clostridium septicum
Clostridium tetani
Corynebacterium striatum
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Entamoeba histolytica
Enterococcus avium
Enterococcus gallinarum
Enterocytozoon bieneusi
Fusobacterium necrophorum
Gardnerella vaginalis
Giardia intestinalis
Helicobacter pylori
Human mastadenovirus D
Morganella morganii
Mycobacterium tuberculosis
Pasteurella multocida
Peptostreptococcus anaerobius
Prevotella bivia
Providencia alcalifaciens
Providencia rettgeri
Pseudomonas putida
Schistosoma mansoni
Shewanella algae
Staphylococcus epidermidis
Staphylococcus pseudintermedius
Streptococcus iniae
Trichomonas vaginalis
Vibrio parahaemolyticus
Yersinia pestis
