Acinetobacter baumannii
Bacillus cereus
Blastocystis hominis
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter lari
Candida albicans
[Candida] glabrata
Candida tropicalis
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium necrophorum
Fusobacterium nucleatum
Haemophilus influenzae
Haemophilus parainfluenzae
Human mastadenovirus D
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Morganella morganii
Paraclostridium bifermentans
Parvimonas micra
Pichia kudriavzevii
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Pseudomonas aeruginosa
Rothia dentocariosa
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
