Prevotella intermedia,basophils
Prevotella melaninogenica,basophils
Streptococcus mutans,basophils
Streptococcus equinus,basophils
Streptococcus anginosus,basophils
Streptococcus pneumoniae,basophils
Streptococcus oralis,basophils
Streptococcus suis,basophils
Streptococcus gordonii,basophils
Streptococcus agalactiae,basophils
Streptococcus mitis,basophils
Streptococcus sobrinus,basophils
Streptococcus dysgalactiae,basophils
Streptococcus pyogenes,basophils
Escherichia coli,basophils
Klebsiella pneumoniae,basophils
Clostridioides difficile,basophils
Clostridium perfringens,basophils
Salmonella enterica,basophils
Bacillus cereus,basophils
Enterobacter cloacae,basophils
Shigella sonnei,basophils
Shigella dysenteriae,basophils
Shigella boydii,basophils
Shigella flexneri,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Citrobacter freundii,basophils
Porphyromonas gingivalis,basophils
Haemophilus parainfluenzae,basophils
Staphylococcus aureus,basophils
Prevotella intermedia,basophils
Prevotella melaninogenica,basophils
Clostridium botulinum,basophils
Clostridium perfringens,basophils
Clostridioides difficile,basophils
Streptococcus suis,basophils
Streptococcus pneumoniae,basophils
Streptococcus agalactiae,basophils
Streptococcus sanguinis,basophils
Streptococcus equinus,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Campylobacter jejuni,basophils
Campylobacter coli,basophils
Parvimonas micra,basophils
Listeria monocytogenes,basophils
Porphyromonas gingivalis,basophils
Escherichia coli,basophils
Tannerella forsythia,basophils
Bacillus cereus,basophils
Fusobacterium nucleatum,basophils
Klebsiella pneumoniae,basophils
Staphylococcus aureus,basophils
Prevotella intermedia,basophils
Prevotella melaninogenica,basophils
Clostridium perfringens,basophils
Clostridium botulinum,basophils
Campylobacter jejuni,basophils
Campylobacter coli,basophils
Streptococcus suis,basophils
Streptococcus agalactiae,basophils
Streptococcus mitis,basophils
Streptococcus equi,basophils
Streptococcus pneumoniae,basophils
Streptococcus anginosus,basophils
Streptococcus equinus,basophils
Streptococcus oralis,basophils
Haemophilus parainfluenzae,basophils
Haemophilus influenzae,basophils
Clostridioides difficile,basophils
Escherichia coli,basophils
Enterococcus faecalis,basophils
Enterococcus faecium,basophils
Staphylococcus aureus,basophils
Porphyromonas gingivalis,basophils
Tannerella forsythia,basophils
Erysipelothrix rhusiopathiae,basophils
Klebsiella pneumoniae,basophils
Finegoldia magna,basophils
Acinetobacter baumannii,basophils
Stenotrophomonas maltophilia,basophils
Escherichia coli,basophils
Streptococcus equinus,basophils
Streptococcus pneumoniae,basophils
Streptococcus oralis,basophils
Streptococcus mitis,basophils
Streptococcus suis,basophils
Streptococcus pyogenes,basophils
Streptococcus agalactiae,basophils
Streptococcus gordonii,basophils
Streptococcus sanguinis,basophils
Streptococcus mutans,basophils
Streptococcus equi,basophils
Streptococcus anginosus,basophils
Klebsiella pneumoniae,basophils
Klebsiella aerogenes,basophils
Klebsiella oxytoca,basophils
Shigella sonnei,basophils
Shigella flexneri,basophils
Shigella dysenteriae,basophils
Shigella boydii,basophils
Rothia dentocariosa,basophils
Salmonella enterica,basophils
Haemophilus parainfluenzae,basophils
Enterococcus faecium,basophils
Clostridium perfringens,basophils
Clostridium botulinum,basophils
Citrobacter freundii,basophils
Corynebacterium diphtheriae,basophils
Enterobacter cloacae,basophils
Clostridioides difficile,basophils
Finegoldia magna,basophils
Paraclostridium bifermentans,basophils
Anaerococcus prevotii,basophils
Cronobacter sakazakii,basophils
Proteus mirabilis,basophils
Pseudomonas aeruginosa,basophils
Staphylococcus haemolyticus,basophils
Enterobacter cloacae,basophils
Escherichia coli,basophils
Streptococcus equinus,basophils
Streptococcus pneumoniae,basophils
Candida albicans,basophils
Salmonella enterica,basophils
Klebsiella pneumoniae,basophils
Klebsiella aerogenes,basophils
Klebsiella oxytoca,basophils
Citrobacter freundii,basophils
Shigella sonnei,basophils
Shigella dysenteriae,basophils
Shigella flexneri,basophils
Shigella boydii,basophils
Cronobacter sakazakii,basophils
Serratia marcescens,basophils
Enterococcus faecium,eosinophils
Enterococcus faecalis,eosinophils
Escherichia coli,eosinophils
Enterocytozoon bieneusi,eosinophils
Streptococcus gordonii,eosinophils
Streptococcus oralis,eosinophils
Streptococcus mitis,eosinophils
Salmonella enterica,eosinophils
Shigella sonnei,eosinophils
Shigella dysenteriae,eosinophils
Shigella flexneri,eosinophils
Shigella boydii,eosinophils
Prevotella intermedia,eosinophils
Clostridioides difficile,eosinophils
Rothia dentocariosa,eosinophils
Klebsiella pneumoniae,eosinophils
Citrobacter freundii,eosinophils
Enterobacter cloacae,eosinophils
Finegoldia magna,eosinophils
Abiotrophia defectiva,eosinophils
Prevotella intermedia,eosinophils
Prevotella melaninogenica,eosinophils
Streptococcus mutans,eosinophils
Streptococcus equinus,eosinophils
Streptococcus anginosus,eosinophils
Streptococcus pneumoniae,eosinophils
Streptococcus oralis,eosinophils
Streptococcus suis,eosinophils
Streptococcus gordonii,eosinophils
Streptococcus agalactiae,eosinophils
Streptococcus mitis,eosinophils
Streptococcus sobrinus,eosinophils
Streptococcus dysgalactiae,eosinophils
Streptococcus pyogenes,eosinophils
Escherichia coli,eosinophils
