Streptococcus mutans,RR197002
Streptococcus equinus,RR197002
Streptococcus sobrinus,RR197002
Streptococcus oralis,RR197002
Streptococcus suis,RR197002
Streptococcus gordonii,RR197002
Streptococcus anginosus,RR197002
Streptococcus sanguinis,RR197002
Streptococcus agalactiae,RR197002
Streptococcus mitis,RR197002
Streptococcus equi,RR197002
Streptococcus pyogenes,RR197002
Streptococcus dysgalactiae,RR197002
Prevotella intermedia,RR197002
Prevotella melaninogenica,RR197002
Clostridium perfringens,RR197002
Clostridium botulinum,RR197002
Clostridioides difficile,RR197002
Haemophilus parainfluenzae,RR197002
Haemophilus influenzae,RR197002
Campylobacter jejuni,RR197002
Enterococcus faecium,RR197002
Enterococcus faecalis,RR197002
Paraclostridium bifermentans,RR197002
Bacillus cereus,RR197002
Klebsiella pneumoniae,RR197002
Escherichia coli,RR197002
Finegoldia magna,RR197002
Salmonella enterica,RR197002
Prevotella intermedia,RR197008
Prevotella melaninogenica,RR197008
Streptococcus mutans,RR197008
Streptococcus equinus,RR197008
Streptococcus anginosus,RR197008
Streptococcus pneumoniae,RR197008
Streptococcus oralis,RR197008
Streptococcus suis,RR197008
Streptococcus gordonii,RR197008
Streptococcus agalactiae,RR197008
Streptococcus mitis,RR197008
Streptococcus sobrinus,RR197008
Streptococcus dysgalactiae,RR197008
Streptococcus pyogenes,RR197008
Escherichia coli,RR197008
Klebsiella pneumoniae,RR197008
Clostridioides difficile,RR197008
Clostridium perfringens,RR197008
Salmonella enterica,RR197008
Bacillus cereus,RR197008
Enterobacter cloacae,RR197008
Shigella sonnei,RR197008
Shigella dysenteriae,RR197008
Shigella boydii,RR197008
Shigella flexneri,RR197008
Enterococcus faecium,RR197008
Enterococcus faecalis,RR197008
Citrobacter freundii,RR197008
Porphyromonas gingivalis,RR197008
Haemophilus parainfluenzae,RR197008
Staphylococcus aureus,RR197008
Prevotella intermedia,RR197031
Prevotella melaninogenica,RR197031
Fusobacterium nucleatum,RR197031
Clostridioides difficile,RR197031
Haemophilus parainfluenzae,RR197031
Haemophilus influenzae,RR197031
Streptococcus suis,RR197031
Streptococcus pneumoniae,RR197031
Streptococcus agalactiae,RR197031
Tannerella forsythia,RR197031
Enterococcus faecium,RR197031
Enterococcus faecalis,RR197031
Campylobacter jejuni,RR197031
Porphyromonas gingivalis,RR197031
Enterobacter cloacae,RR197031
Escherichia coli,RR197031
Salmonella enterica,RR197031
Streptococcus sanguinis,RR197040
Streptococcus pneumoniae,RR197040
Streptococcus anginosus,RR197040
Streptococcus suis,RR197040
Streptococcus oralis,RR197040
Streptococcus sobrinus,RR197040
Streptococcus gordonii,RR197040
Streptococcus equinus,RR197040
Streptococcus mitis,RR197040
Streptococcus agalactiae,RR197040
Clostridium botulinum,RR197040
Clostridium perfringens,RR197040
Prevotella intermedia,RR197040
Clostridioides difficile,RR197040
Enterococcus faecium,RR197040
Campylobacter jejuni,RR197040
Porphyromonas gingivalis,RR197040
Bacillus cereus,RR197040
Rothia dentocariosa,RR197040
Fusobacterium necrophorum,RR197040
Klebsiella pneumoniae,RR197040
Pseudomonas aeruginosa,RR197040
Acinetobacter baumannii,RR197040
Prevotella intermedia,RR197066
Prevotella melaninogenica,RR197066
Clostridium botulinum,RR197066
Clostridium perfringens,RR197066
Clostridioides difficile,RR197066
Streptococcus suis,RR197066
Streptococcus pneumoniae,RR197066
Streptococcus agalactiae,RR197066
Streptococcus sanguinis,RR197066
Streptococcus equinus,RR197066
Enterococcus faecium,RR197066
Enterococcus faecalis,RR197066
Campylobacter jejuni,RR197066
Campylobacter coli,RR197066
Parvimonas micra,RR197066
Listeria monocytogenes,RR197066
Porphyromonas gingivalis,RR197066
Escherichia coli,RR197066
