Bacillus cereus
Campylobacter fetus
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Haemophilus parainfluenzae
Paraclostridium bifermentans
Prevotella intermedia
Prevotella melaninogenica
Staphylococcus aureus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus equi
Streptococcus equinus
Streptococcus mitis
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus suis
