Anaerococcus prevotii
Bacillus cereus
Campylobacter fetus
Campylobacter jejuni
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium tetani
Enterobacter cloacae
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Haemophilus parainfluenzae
Human mastadenovirus A
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Paraclostridium bifermentans
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Vibrio parahaemolyticus
