Anaerococcus prevotii
Campylobacter jejuni
Citrobacter freundii
Clostridium tetani
Enterobacter cloacae
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Human mastadenovirus A
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Porphyromonas gingivalis
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus epidermidis
Stenotrophomonas maltophilia
Streptococcus dysgalactiae
Streptococcus gordonii
Streptococcus mutans
Streptococcus sanguinis
Streptococcus sobrinus
Tannerella forsythia
Vibrio parahaemolyticus
