Aggregatibacter aphrophilus
Bacillus cereus
Campylobacter coli
Campylobacter jejuni
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Enterobacter cloacae
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium necrophorum
[Haemophilus] ducreyi
Haemophilus influenzae
Haemophilus parainfluenzae
Klebsiella pneumoniae
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Pseudomonas aeruginosa
Salmonella enterica
Shigella dysenteriae
Shigella flexneri
Staphylococcus aureus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus suis
