Acinetobacter baumannii
Aeromonas caviae
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Blastocystis hominis
Campylobacter jejuni
Candida albicans
Candida dubliniensis
Citrobacter freundii
Clostridium septicum
Clostridium tetani
Cronobacter sakazakii
Dientamoeba fragilis
Enterobacter cloacae
Enterococcus avium
Enterococcus gallinarum
Enterocytozoon bieneusi
Giardia intestinalis
Haemophilus influenzae
Human betaherpesvirus 5
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Mycoplasma hominis
Parvimonas micra
Porphyromonas gingivalis
Salmonella enterica
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus epidermidis
Staphylococcus haemolyticus
Stenotrophomonas maltophilia
Streptococcus dysgalactiae
Streptococcus gordonii
Streptococcus mutans
Streptococcus sanguinis
Tannerella forsythia
Trichomonas vaginalis
Ureaplasma urealyticum
