Abiotrophia defectiva,bacteria
Achromobacter xylosoxidans,bacteria
Acinetobacter baumannii,bacteria
Aeromonas veronii,bacteria
Aggregatibacter aphrophilus,bacteria
Anaerococcus prevotii,bacteria
Bacillus cereus,bacteria
Blastocystis hominis,eukaryota
Brachyspira hyodysenteriae,bacteria
Campylobacter coli,bacteria
Campylobacter curvus,bacteria
Campylobacter fetus,bacteria
Campylobacter jejuni,bacteria
Campylobacter lari,bacteria
Candida albicans,eukaryota
Candida dubliniensis,eukaryota
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Clostridium septicum,bacteria
Clostridium tetani,bacteria
Corynebacterium striatum,bacteria
Elizabethkingia anophelis,bacteria
Enterobacter cloacae,bacteria
Enterococcus avium,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterococcus gallinarum,bacteria
Enterocytozoon bieneusi,eukaryota
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium nucleatum,bacteria
Gardnerella vaginalis,bacteria
Giardia intestinalis,eukaryota
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Helicobacter pylori,bacteria
Klebsiella aerogenes,bacteria
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Listeria monocytogenes,bacteria
Morganella morganii,bacteria
Paraclostridium bifermentans,bacteria
Parvimonas micra,bacteria
Pasteurella multocida,bacteria
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Pseudomonas aeruginosa,bacteria
Rhizopus oryzae,eukaryota
Rothia dentocariosa,bacteria
Salmonella enterica,bacteria
Schistosoma mansoni,eukaryota
Serratia marcescens,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus dysgalactiae,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus sobrinus,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
Yersinia pestis,bacteria
