Bacillus cereus,bacteria
Campylobacter coli,bacteria
Campylobacter fetus,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium nucleatum,bacteria
Haemophilus parainfluenzae,bacteria
Paraclostridium bifermentans,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Pseudomonas aeruginosa,bacteria
Staphylococcus aureus,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus mitis,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus suis,bacteria
