Acinetobacter baumannii
Aeromonas caviae
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Anaerococcus prevotii
Bacillus cereus
Blastocystis hominis
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Candida albicans
Candida dubliniensis
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani
Cronobacter sakazakii
Dientamoeba fragilis
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterocytozoon bieneusi
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Haemophilus parainfluenzae
Human betaherpesvirus 5
Human mastadenovirus A
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Mycoplasma hominis
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Pseudomonas aeruginosa
Salmonella enterica
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Trichomonas vaginalis
Ureaplasma urealyticum
Vibrio parahaemolyticus
