Aggregatibacter aphrophilus,bacteria
Bacillus cereus,bacteria
Campylobacter coli,bacteria
Campylobacter jejuni,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Clostridium septicum,bacteria
Enterobacter cloacae,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium necrophorum,bacteria
[Haemophilus] ducreyi,bacteria
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Klebsiella pneumoniae,bacteria
Paraclostridium bifermentans,bacteria
Parvimonas micra,bacteria
Pasteurella multocida,bacteria
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Pseudomonas aeruginosa,bacteria
Salmonella enterica,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Staphylococcus aureus,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus suis,bacteria
