Acinetobacter baumannii,bacteria
Aeromonas caviae,bacteria
Aggregatibacter actinomycetemcomitans,bacteria
Aggregatibacter aphrophilus,bacteria
Bacillus cereus,bacteria
Blastocystis hominis,eukaryota
Campylobacter coli,bacteria
Campylobacter fetus,bacteria
Campylobacter jejuni,bacteria
Campylobacter lari,bacteria
Candida albicans,eukaryota
Candida dubliniensis,eukaryota
[Candida] glabrata,eukaryota
Candida tropicalis,eukaryota
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Clostridium septicum,bacteria
Clostridium tetani,bacteria
Cronobacter sakazakii,bacteria
Dientamoeba fragilis,eukaryota
Enterobacter cloacae,bacteria
Enterococcus avium,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterococcus gallinarum,bacteria
Enterocytozoon bieneusi,eukaryota
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium necrophorum,bacteria
Fusobacterium nucleatum,bacteria
Giardia intestinalis,eukaryota
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Human betaherpesvirus 5,viruses
Human mastadenovirus D,viruses
Klebsiella aerogenes,bacteria
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Listeria monocytogenes,bacteria
Morganella morganii,bacteria
Mycoplasma hominis,bacteria
Paraclostridium bifermentans,bacteria
Parvimonas micra,bacteria
Pichia kudriavzevii,eukaryota
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Proteus mirabilis,bacteria
Pseudomonas aeruginosa,bacteria
Rothia dentocariosa,bacteria
Salmonella enterica,bacteria
Serratia marcescens,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Staphylococcus epidermidis,bacteria
Staphylococcus haemolyticus,bacteria
Stenotrophomonas maltophilia,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus dysgalactiae,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus sobrinus,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
Trichomonas vaginalis,eukaryota
Ureaplasma urealyticum,bacteria
