Abiotrophia defectiva
Acinetobacter baumannii
Aeromonas caviae
Aeromonas hydrophila
Aeromonas veronii
Aggregatibacter aphrophilus
Bacillus cereus
Bacillus licheniformis
Blastocystis hominis
Brachyspira hyodysenteriae
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter lari
Candida albicans
Candida dubliniensis
[Candida] glabrata
Candida tropicalis
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani
Corynebacterium striatum
Cronobacter sakazakii
Dientamoeba fragilis
Elizabethkingia anophelis
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterocytozoon bieneusi
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
[Haemophilus] ducreyi
Haemophilus influenzae
Haemophilus parainfluenzae
Helicobacter pylori
Human betaherpesvirus 5
Human mastadenovirus B
Human mastadenovirus C
Human mastadenovirus D
Human polyomavirus 4
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Morganella morganii
Mycobacterium tuberculosis
Mycoplasma hominis
Mycoplasma penetrans
Orf virus
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Peptostreptococcus anaerobius
Pichia kudriavzevii
Porphyromonas gingivalis
Prevotella bivia
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Pseudomonas aeruginosa
Pseudomonas putida
Rothia dentocariosa
Saccharomyces cerevisiae
Salmonella enterica
Serratia marcescens
Shewanella algae
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus pseudintermedius
Stenotrophomonas maltophilia
Streptobacillus moniliformis
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Trichomonas vaginalis
Ureaplasma parvum
Ureaplasma urealyticum
Vibrio parahaemolyticus
