Prevotella intermedia,basophils
Prevotella melaninogenica,basophils
Streptococcus equinus,basophils
Streptococcus pneumoniae,basophils
Streptococcus mitis,basophils
Streptococcus oralis,basophils
Streptococcus gordonii,basophils
Streptococcus agalactiae,basophils
Streptococcus suis,basophils
Streptococcus sanguinis,basophils
Streptococcus anginosus,basophils
Streptococcus mutans,basophils
Streptococcus equi,basophils
Streptococcus pyogenes,basophils
Haemophilus parainfluenzae,basophils
Haemophilus influenzae,basophils
Clostridioides difficile,basophils
Clostridium perfringens,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Porphyromonas gingivalis,basophils
Aggregatibacter aphrophilus,basophils
Escherichia coli,basophils
Staphylococcus aureus,basophils
Clostridium botulinum,basophils
Clostridium perfringens,basophils
Clostridium septicum,basophils
Prevotella intermedia,basophils
Prevotella melaninogenica,basophils
Clostridioides difficile,basophils
Streptococcus agalactiae,basophils
Streptococcus suis,basophils
Streptococcus pneumoniae,basophils
Streptococcus anginosus,basophils
Streptococcus equinus,basophils
Streptococcus pyogenes,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Paraclostridium bifermentans,basophils
Escherichia coli,basophils
Parvimonas micra,basophils
Campylobacter jejuni,basophils
[Haemophilus] ducreyi,basophils
Klebsiella pneumoniae,basophils
Finegoldia magna,basophils
Salmonella enterica,basophils
Staphylococcus aureus,basophils
Prevotella intermedia,basophils
Campylobacter jejuni,basophils
Campylobacter coli,basophils
Clostridium perfringens,basophils
Clostridium botulinum,basophils
Clostridium septicum,basophils
Blastocystis hominis,basophils
Clostridioides difficile,basophils
Streptococcus suis,basophils
Streptococcus agalactiae,basophils
Streptococcus mitis,basophils
Streptococcus sanguinis,basophils
Streptococcus oralis,basophils
Streptococcus equi,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Haemophilus parainfluenzae,basophils
Klebsiella pneumoniae,basophils
Klebsiella oxytoca,basophils
Klebsiella aerogenes,basophils
Paraclostridium bifermentans,basophils
Porphyromonas gingivalis,basophils
Fusobacterium nucleatum,basophils
Bacillus cereus,basophils
Erysipelothrix rhusiopathiae,basophils
Escherichia coli,basophils
Staphylococcus aureus,basophils
Salmonella enterica,basophils
Escherichia coli,basophils
Klebsiella pneumoniae,basophils
Streptococcus equinus,basophils
Streptococcus pneumoniae,basophils
Streptococcus mitis,basophils
Streptococcus oralis,basophils
Streptococcus suis,basophils
Streptococcus mutans,basophils
Streptococcus agalactiae,basophils
Streptococcus gordonii,basophils
Streptococcus sanguinis,basophils
Streptococcus pyogenes,basophils
Enterococcus faecium,basophils
Enterococcus gallinarum,basophils
Enterococcus faecalis,basophils
Salmonella enterica,basophils
Shigella sonnei,basophils
Candida albicans,basophils
Campylobacter jejuni,basophils
Pseudomonas aeruginosa,basophils
Clostridioides difficile,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Escherichia coli,basophils
Enterocytozoon bieneusi,basophils
Streptococcus gordonii,basophils
Streptococcus oralis,basophils
Streptococcus mitis,basophils
Salmonella enterica,basophils
Shigella sonnei,basophils
Shigella dysenteriae,basophils
Shigella flexneri,basophils
Shigella boydii,basophils
Prevotella intermedia,basophils
Clostridioides difficile,basophils
Rothia dentocariosa,basophils
Klebsiella pneumoniae,basophils
Citrobacter freundii,basophils
Enterobacter cloacae,basophils
Finegoldia magna,basophils
Abiotrophia defectiva,basophils
Prevotella intermedia,basophils
Prevotella melaninogenica,basophils
Clostridioides difficile,basophils
Clostridium botulinum,basophils
Clostridium perfringens,basophils
Streptococcus suis,basophils
Streptococcus pneumoniae,basophils
Streptococcus agalactiae,basophils
Streptococcus gordonii,basophils
Streptococcus equinus,basophils
Streptococcus oralis,basophils
Streptococcus pyogenes,basophils
Campylobacter jejuni,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Paraclostridium bifermentans,basophils
Parvimonas micra,basophils
Pseudomonas aeruginosa,basophils
Prevotella intermedia,basophils
Clostridium perfringens,basophils
Clostridium botulinum,basophils
Escherichia coli,basophils
Streptococcus suis,basophils
Streptococcus equinus,basophils
Streptococcus pneumoniae,basophils
Streptococcus mitis,basophils
Streptococcus gordonii,basophils
Streptococcus oralis,basophils
Streptococcus sanguinis,basophils
Streptococcus agalactiae,basophils
Streptococcus anginosus,basophils
Streptococcus equi,basophils
Clostridioides difficile,basophils
Haemophilus parainfluenzae,basophils
Klebsiella pneumoniae,basophils
Enterococcus faecium,basophils
Enterococcus faecalis,basophils
Paraclostridium bifermentans,basophils
Enterobacter cloacae,basophils
Salmonella enterica,basophils
Shigella flexneri,basophils
Shigella boydii,basophils
Shigella dysenteriae,basophils
Citrobacter freundii,basophils
Campylobacter coli,basophils
Parvimonas micra,basophils
Staphylococcus aureus,basophils
Escherichia coli,basophils
Streptococcus equinus,basophils
Streptococcus suis,basophils
Streptococcus pneumoniae,basophils
Streptococcus mitis,basophils
Streptococcus oralis,basophils
Streptococcus sanguinis,basophils
Streptococcus agalactiae,basophils
Streptococcus gordonii,basophils
Streptococcus anginosus,basophils
Streptococcus dysgalactiae,basophils
Streptococcus equi,basophils
