Achromobacter xylosoxidans
Acinetobacter baumannii
Aeromonas caviae
Aeromonas hydrophila
Aeromonas veronii
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Bacillus cereus
Bacillus licheniformis
Blastocystis hominis
Brachyspira hyodysenteriae
Campylobacter coli
Campylobacter fetus
Campylobacter lari
Candida dubliniensis
Clostridium septicum
Clostridium tetani
Corynebacterium striatum
Cronobacter sakazakii
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Enterocytozoon bieneusi
Erysipelothrix rhusiopathiae
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Haemophilus parainfluenzae
Helicobacter pylori
Human mastadenovirus D
Morganella morganii
Mycoplasma penetrans
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Peptostreptococcus anaerobius
Porphyromonas gingivalis
Prevotella bivia
Proteus mirabilis
Providencia rettgeri
Pseudomonas aeruginosa
Pseudomonas putida
Rothia dentocariosa
Schistosoma mansoni
Serratia marcescens
Staphylococcus haemolyticus
Staphylococcus pseudintermedius
Stenotrophomonas maltophilia
Streptococcus dysgalactiae
Streptococcus sobrinus
Tannerella forsythia
Trichomonas vaginalis
Ureaplasma parvum
Ureaplasma urealyticum
Vibrio parahaemolyticus
