Achromobacter xylosoxidans
Acinetobacter baumannii
Aeromonas caviae
Aeromonas hydrophila
Aggregatibacter actinomycetemcomitans
Bacillus licheniformis
Brachyspira hyodysenteriae
Campylobacter fetus
Campylobacter lari
Clostridium septicum
Corynebacterium striatum
Cronobacter sakazakii
Elizabethkingia anophelis
Fusobacterium necrophorum
Gardnerella vaginalis
Giardia intestinalis
Helicobacter pylori
Mycoplasma penetrans
Pasteurella multocida
Peptostreptococcus anaerobius
Providencia rettgeri
Pseudomonas putida
Schistosoma mansoni
Staphylococcus haemolyticus
Staphylococcus pseudintermedius
Stenotrophomonas maltophilia
Trichomonas vaginalis
Ureaplasma parvum
Ureaplasma urealyticum
Vibrio parahaemolyticus
