Aggregatibacter aphrophilus
Bacillus cereus
Campylobacter coli
Campylobacter jejuni
Candida albicans
Candida dubliniensis
[Candida] glabrata
Candida tropicalis
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium tetani
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Haemophilus influenzae
Haemophilus parainfluenzae
Human mastadenovirus D
Klebsiella pneumoniae
Listeria monocytogenes
Morganella morganii
Paraclostridium bifermentans
Pichia kudriavzevii
Porphyromonas gingivalis
Prevotella bivia
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Pseudomonas aeruginosa
Rhizopus oryzae
Rothia dentocariosa
Salmonella enterica
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
