Abiotrophia defectiva
Bacillus cereus
Blastocystis hominis
Campylobacter coli
Campylobacter jejuni
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Elizabethkingia meningoseptica
Enterobacter cloacae
Enterococcus faecalis
Enterococcus faecium
Enterocytozoon bieneusi
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Human mastadenovirus D
Klebsiella oxytoca
Klebsiella pneumoniae
Paraclostridium bifermentans
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Rothia dentocariosa
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus iniae
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
