Campylobacter jejuni
Candida albicans
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Escherichia coli
Finegoldia magna
Klebsiella pneumoniae
Listeria monocytogenes
Prevotella intermedia
Prevotella melaninogenica
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus suis
