Campylobacter jejuni,bacteria
Candida albicans,eukaryota
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Enterobacter cloacae,bacteria
Enterococcus avium,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterococcus gallinarum,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Klebsiella aerogenes,bacteria
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Listeria monocytogenes,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Salmonella enterica,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Staphylococcus epidermidis,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus suis,bacteria
Yersinia pestis,bacteria
