Abiotrophia defectiva,bacteria
Bacillus cereus,bacteria
Blastocystis hominis,eukaryota
Campylobacter coli,bacteria
Campylobacter jejuni,bacteria
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Elizabethkingia meningoseptica,bacteria
Enterobacter cloacae,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterocytozoon bieneusi,eukaryota
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium nucleatum,bacteria
Human mastadenovirus D,viruses
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Paraclostridium bifermentans,bacteria
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Rothia dentocariosa,bacteria
Salmonella enterica,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Streptococcus anginosus,bacteria
Streptococcus dysgalactiae,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus iniae,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus sobrinus,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
