Campylobacter jejuni,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Enterococcus faecium,bacteria
Escherichia coli,bacteria
Haemophilus parainfluenzae,bacteria
Klebsiella pneumoniae,bacteria
Prevotella intermedia,bacteria
Salmonella enterica,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus mitis,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus suis,bacteria
