Acinetobacter baumannii,bacteria
Aeromonas veronii,bacteria
Aggregatibacter aphrophilus,bacteria
Anaerococcus prevotii,bacteria
Bacillus cereus,bacteria
Blastocystis hominis,eukaryota
Campylobacter coli,bacteria
Campylobacter fetus,bacteria
Campylobacter jejuni,bacteria
Campylobacter lari,bacteria
Candida albicans,eukaryota
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Clostridium septicum,bacteria
Clostridium tetani,bacteria
Corynebacterium diphtheriae,bacteria
Cronobacter sakazakii,bacteria
Elizabethkingia anophelis,bacteria
Enterobacter cloacae,bacteria
Enterococcus avium,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterococcus gallinarum,bacteria
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium necrophorum,bacteria
Fusobacterium nucleatum,bacteria
Gardnerella vaginalis,bacteria
Giardia intestinalis,eukaryota
[Haemophilus] ducreyi,bacteria
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Helicobacter pylori,bacteria
Human mastadenovirus B,viruses
Human mastadenovirus C,viruses
Klebsiella aerogenes,bacteria
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Listeria monocytogenes,bacteria
Paraclostridium bifermentans,bacteria
Parvimonas micra,bacteria
Pasteurella multocida,bacteria
Peptostreptococcus anaerobius,bacteria
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Proteus mirabilis,bacteria
Providencia alcalifaciens,bacteria
Providencia rettgeri,bacteria
Pseudomonas aeruginosa,bacteria
Rothia dentocariosa,bacteria
Salmonella enterica,bacteria
Serratia marcescens,bacteria
Shewanella algae,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Staphylococcus haemolyticus,bacteria
Stenotrophomonas maltophilia,bacteria
Streptobacillus moniliformis,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus dysgalactiae,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus sobrinus,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
Trichomonas vaginalis,eukaryota
Vibrio parahaemolyticus,bacteria
