Bacillus cereus,bacteria
Blastocystis hominis,eukaryota
Campylobacter jejuni,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Entamoeba histolytica,eukaryota
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Klebsiella pneumoniae,bacteria
Paraclostridium bifermentans,bacteria
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Salmonella enterica,bacteria
Streptococcus agalactiae,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus suis,bacteria
Trichomonas vaginalis,eukaryota
