Abiotrophia defectiva,bacteria
Acinetobacter baumannii,bacteria
Aeromonas caviae,bacteria
Aeromonas veronii,bacteria
Aggregatibacter aphrophilus,bacteria
Bacillus cereus,bacteria
Blastocystis hominis,eukaryota
Campylobacter coli,bacteria
Campylobacter jejuni,bacteria
Candida albicans,eukaryota
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Clostridium septicum,bacteria
Clostridium tetani,bacteria
Corynebacterium striatum,bacteria
Dientamoeba fragilis,eukaryota
Elizabethkingia anophelis,bacteria
Enterobacter cloacae,bacteria
Enterococcus avium,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterococcus gallinarum,bacteria
Enterocytozoon bieneusi,eukaryota
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium nucleatum,bacteria
Gardnerella vaginalis,bacteria
Giardia intestinalis,eukaryota
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Human betaherpesvirus 5,viruses
Human mastadenovirus C,viruses
Human polyomavirus 4,viruses
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Listeria monocytogenes,bacteria
Mycobacterium tuberculosis,bacteria
Mycoplasma hominis,bacteria
Paraclostridium bifermentans,bacteria
Parvimonas micra,bacteria
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Pseudomonas aeruginosa,bacteria
Saccharomyces cerevisiae,eukaryota
Salmonella enterica,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Staphylococcus epidermidis,bacteria
Staphylococcus haemolyticus,bacteria
Staphylococcus pseudintermedius,bacteria
Stenotrophomonas maltophilia,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus dysgalactiae,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus sobrinus,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
Trichomonas vaginalis,eukaryota
