Aeromonas veronii
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Enterobacter cloacae
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Haemophilus influenzae
Haemophilus parainfluenzae
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Paraclostridium bifermentans
Parvimonas micra
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Pseudomonas aeruginosa
Salmonella enterica
Serratia marcescens
Shigella flexneri
Staphylococcus aureus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus equinus
Streptococcus gordonii
Streptococcus oralis
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus suis
Tannerella forsythia
