Acinetobacter baumannii
Aeromonas veronii
Aggregatibacter aphrophilus
Anaerococcus prevotii
Bacillus cereus
Blastocystis hominis
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter lari
Candida albicans
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani
Corynebacterium diphtheriae
Cronobacter sakazakii
Elizabethkingia anophelis
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
[Haemophilus] ducreyi
Haemophilus influenzae
Haemophilus parainfluenzae
Helicobacter pylori
Human mastadenovirus B
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Peptostreptococcus anaerobius
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Providencia alcalifaciens
Providencia rettgeri
Pseudomonas aeruginosa
Rothia dentocariosa
Salmonella enterica
Serratia marcescens
Shewanella algae
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus haemolyticus
Stenotrophomonas maltophilia
Streptobacillus moniliformis
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Trichomonas vaginalis
Vibrio parahaemolyticus
