Bacillus cereus
Blastocystis hominis
Campylobacter jejuni
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Entamoeba histolytica
Enterococcus faecalis
Enterococcus faecium
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Klebsiella pneumoniae
Paraclostridium bifermentans
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Salmonella enterica
Streptococcus agalactiae
Streptococcus equinus
Streptococcus gordonii
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus suis
Trichomonas vaginalis
