Abiotrophia defectiva
Acinetobacter baumannii
Aeromonas caviae
Aeromonas veronii
Aggregatibacter aphrophilus
Bacillus cereus
Blastocystis hominis
Campylobacter coli
Campylobacter jejuni
Candida albicans
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani
Corynebacterium striatum
Dientamoeba fragilis
Elizabethkingia anophelis
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterocytozoon bieneusi
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Haemophilus parainfluenzae
Human betaherpesvirus 5
Human mastadenovirus C
Human polyomavirus 4
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Mycobacterium tuberculosis
Mycoplasma hominis
Paraclostridium bifermentans
Parvimonas micra
Porphyromonas gingivalis
Prevotella intermedia
Prevotella melaninogenica
Pseudomonas aeruginosa
Saccharomyces cerevisiae
Salmonella enterica
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus pseudintermedius
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Trichomonas vaginalis
