Achromobacter xylosoxidans
Acinetobacter baumannii
Aeromonas caviae
Aeromonas hydrophila
Aeromonas veronii
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Bacillus cereus
Bacillus licheniformis
Blastocystis hominis
Brachyspira hyodysenteriae
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter lari
Candida albicans
Candida dubliniensis
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani
Corynebacterium striatum
Cronobacter sakazakii
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterocytozoon bieneusi
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Haemophilus parainfluenzae
Helicobacter pylori
Human mastadenovirus A
Human mastadenovirus D
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Morganella morganii
Mycoplasma penetrans
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Peptostreptococcus anaerobius
Porphyromonas gingivalis
Prevotella bivia
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Providencia rettgeri
Pseudomonas aeruginosa
Pseudomonas putida
Rothia dentocariosa
Salmonella enterica
Schistosoma mansoni
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus pseudintermedius
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Trichomonas vaginalis
Ureaplasma parvum
Ureaplasma urealyticum
Vibrio parahaemolyticus
