Prevotella copri,RR197001
Prevotella dentalis,RR197001
Prevotella scopos,RR197001
Prevotella denticola,RR197001
Prevotella stercorea,RR197001
Prevotella ruminicola,RR197001
Prevotella oris,RR197001
uncultured Prevotella sp.,RR197001
Streptococcus salivarius,RR197001
Streptococcus parasanguinis,RR197001
Streptococcus thermophilus,RR197001
Streptococcus sp. FDAARGOS_192,RR197001
Streptococcus sp. LPB0220,RR197001
Streptococcus pasteurianus,RR197001
Streptococcus vestibularis,RR197001
Streptococcus gallolyticus,RR197001
Streptococcus australis,RR197001
Streptococcus cristatus,RR197001
Streptococcus lutetiensis,RR197001
Streptococcus sp. A12,RR197001
Streptococcus intermedius,RR197001
Streptococcus sp. I-G2,RR197001
Streptococcus macedonicus,RR197001
Streptococcus acidominimus,RR197001
Streptococcus infantarius,RR197001
Streptococcus sp. 116-D4,RR197001
Anaerostipes hadrus,RR197001
Anaerostipes caccae,RR197001
uncultured bacterium,RR197001
uncultured organism,RR197001
butyrate-producing bacterium SS3/4,RR197001
uncultured prokaryote,RR197001
uncultured Caudovirales phage,RR197001
Clostridiales bacterium,RR197001
uncultured bacterium Ad_113_I18_contig2,RR197001
[Ruminococcus] torques,RR197001
[Ruminococcus] gnavus,RR197001
Faecalibacterium prausnitzii,RR197001
Blautia obeum,RR197001
Blautia sp. SC05B48,RR197001
Blautia producta,RR197001
Blautia hansenii,RR197001
Blautia argi,RR197001
Bacteroides uniformis,RR197001
Bacteroides xylanisolvens,RR197001
Bacteroides ovatus,RR197001
Bacteroides thetaiotaomicron,RR197001
Bacteroides fragilis,RR197001
Bacteroides cellulosilyticus,RR197001
Bacteroides zoogleoformans,RR197001
Bacteroides helcogenes,RR197001
Bacteroides caccae,RR197001
Bacteroides sp. CBA7301,RR197001
Bacteroides heparinolyticus,RR197001
Bacteroides intestinalis,RR197001
Ligilactobacillus ruminis,RR197001
Ligilactobacillus agilis,RR197001
Bifidobacterium pseudocatenulatum,RR197001
Bifidobacterium catenulatum,RR197001
Bifidobacterium adolescentis,RR197001
Bifidobacterium longum,RR197001
Bifidobacterium breve,RR197001
Coprococcus catus,RR197001
Haemophilus parahaemolyticus,RR197001
Haemophilus haemolyticus,RR197001
Ruminococcus bicirculans,RR197001
Dialister hominis,RR197001
Dialister massiliensis,RR197001
Phocaeicola dorei,RR197001
Phocaeicola vulgatus,RR197001
Anaerobutyricum hallii,RR197001
Butyricimonas faecalis,RR197001
Alistipes indistinctus,RR197001
Alistipes onderdonkii,RR197001
Alistipes shahii,RR197001
Roseburia intestinalis,RR197001
Roseburia inulinivorans,RR197001
Roseburia hominis,RR197001
[Eubacterium] rectale,RR197001
Lachnospiraceae bacterium,RR197001
uncultured Clostridium sp.,RR197001
Clostridium sp. SY8519,RR197001
Campylobacter sp. CGEMS,RR197001
Odoribacter splanchnicus,RR197001
Acidaminococcus fermentans,RR197001
Acidaminococcus intestini,RR197001
Parabacteroides distasonis,RR197001
Eubacterium limosum,RR197001
Enterococcus hirae,RR197001
Enterococcus cecorum,RR197001
Paraprevotella xylaniphila,RR197001
Collinsella aerofaciens,RR197001
[Clostridium] innocuum,RR197001
Erysipelatoclostridium ramosum,RR197001
Faecalitalea cylindroides,RR197001
Alloprevotella sp. E39,RR197001
Flavonifractor plautii,RR197001
[Clostridium] scindens,RR197001
Lachnoclostridium phocaeense,RR197001
Lachnoclostridium sp. YL32,RR197001
Enterocloster bolteae,RR197001
Weissella cibaria,RR197001
Lachnospira eligens,RR197001
Muribaculum intestinale,RR197001
Hungatella hathewayi,RR197001
Amedibacterium intestinale,RR197001
Faecalibacillus intestinalis,RR197001
Veillonella atypica,RR197001
Veillonella parvula,RR197001
Petrimonas mucosa,RR197001
Porphyromonas cangingivalis,RR197001
Streptococcus phage IPP23,RR197001
Megasphaera elsdenii,RR197001
Lactococcus lactis,RR197001
Selenomonas ruminantium,RR197001
Faecalibacterium prausnitzii,RR197002
uncultured Faecalibacterium sp.,RR197002
[Eubacterium] rectale,RR197002
Lachnospiraceae bacterium,RR197002
Lachnospiraceae bacterium sunii NSJ-8,RR197002
Lachnospiraceae bacterium oral taxon 500,RR197002
Lachnospiraceae bacterium NSJ-29,RR197002
Lachnospiraceae bacterium NSJ-38,RR197002
Streptococcus salivarius,RR197002
Streptococcus sp. FDAARGOS_192,RR197002
Streptococcus thermophilus,RR197002
Streptococcus parasanguinis,RR197002
Streptococcus vestibularis,RR197002
Streptococcus constellatus,RR197002
Streptococcus canis,RR197002
Streptococcus sp. A12,RR197002
Streptococcus australis,RR197002
Streptococcus intermedius,RR197002
Streptococcus sp. I-G2,RR197002
Streptococcus downei,RR197002
Streptococcus gallolyticus,RR197002
Streptococcus pasteurianus,RR197002
Streptococcus cristatus,RR197002
Streptococcus lutetiensis,RR197002
Ruminococcus sp. JE7A12,RR197002
Ruminococcus sp. SR1/5,RR197002
uncultured Ruminococcus sp.,RR197002
Ruminococcus bicirculans,RR197002
Ruminococcus flavefaciens,RR197002
Ruminococcus champanellensis,RR197002
Ruminococcus albus,RR197002
Prevotella copri,RR197002
Prevotella denticola,RR197002
Prevotella ruminicola,RR197002
Prevotella oris,RR197002
uncultured bacterium,RR197002
uncultured organism,RR197002
Clostridiales bacterium,RR197002
butyrate-producing bacterium SS3/4,RR197002
uncultured prokaryote,RR197002
Candidatus Melainabacteria bacterium MEL.A1,RR197002
Bacteriophage sp.,RR197002
Bifidobacterium longum,RR197002
Bifidobacterium pseudocatenulatum,RR197002
Bifidobacterium catenulatum,RR197002
Bifidobacterium bifidum,RR197002
Bifidobacterium adolescentis,RR197002
Bifidobacterium breve,RR197002
Bifidobacterium angulatum,RR197002
Bifidobacterium dentium,RR197002
Bifidobacterium pullorum,RR197002
Bifidobacterium lemurum,RR197002
[Ruminococcus] torques,RR197002
[Ruminococcus] gnavus,RR197002
Blautia obeum,RR197002
Blautia sp. SC05B48,RR197002
Blautia producta,RR197002
Blautia argi,RR197002
Blautia hansenii,RR197002
Ligilactobacillus ruminis,RR197002
Ligilactobacillus salivarius,RR197002
Collinsella aerofaciens,RR197002
Bacteroides fragilis,RR197002
Bacteroides ovatus,RR197002
Bacteroides thetaiotaomicron,RR197002
Bacteroides xylanisolvens,RR197002
Bacteroides caccae,RR197002
Bacteroides uniformis,RR197002
Bacteroides intestinalis,RR197002
Bacteroides cellulosilyticus,RR197002
Bacteroides caecimuris,RR197002
Roseburia intestinalis,RR197002
Roseburia inulinivorans,RR197002
Roseburia hominis,RR197002
Coprococcus catus,RR197002
Coprococcus sp. ART55/1,RR197002
Clostridium sporogenes,RR197002
Clostridium beijerinckii,RR197002
Clostridium butyricum,RR197002
Clostridium estertheticum,RR197002
Anaerostipes hadrus,RR197002
Anaerostipes caccae,RR197002
Lachnospira eligens,RR197002
Anaerobutyricum hallii,RR197002
Eubacterium limosum,RR197002
Faecalibacillus intestinalis,RR197002
Veillonella dispar,RR197002
Veillonella atypica,RR197002
